title_text,title_link,price,review
더 트릭컬,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372424198,"19,800원",10.0
절창,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371723601,"16,200원",9.5
흔한남매 20,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371918127,"15,120원",10.0
호의에 대하여,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370615846,"16,920원",8.4
혼모노,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=361016676,"16,200원",8.7
렛뎀 이론,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369493586,"18,000원",9.8
가라오케 가자!,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=292511593,"7,650원",9.6
패밀리 레스토랑 가자. 上,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337054427,"7,650원",9.7
형이상학의 근본개념들,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370422490,"31,500원",10.0
시대예보: 경량문명의 탄생,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370922260,"19,800원",9.5
"2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=353981757,"14,850원",9.6
"2025 큰별쌤 최태성의 별★별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=353981994,"14,400원",9.0
트렌드 코리아 2026,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371447935,"18,000원",10.0
지박소년 하나코 군 24 (더블 특장판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372013611,"5,400원",10.0
"빠졌어, 너에게",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=269056986,"7,650원",9.6
양면의 조개껍데기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370247727,"15,750원",9.4
체인소 맨 20,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371535926,"5,400원",8.0
팩트풀니스 (50만 부 뉴에디션),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=345384332,"21,420원",8.7
모순,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=25843736,"11,700원",9.1
데뷔 못 하면 죽는 병 걸림 4부 초판 한정 굿즈박스 세트 - 전4권,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370359907,"116,100원",10.0
안녕이라 그랬어,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365665217,"15,120원",9.6
소설 보다 : 가을 2025,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372103996,"4,950원",8.5
중독은 뇌를 어떻게 바꾸는가,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371105102,"19,800원",9.7
"2025 큰별쌤 최태성의 별★별한국사 기출 500제 한국사능력검정시험 심화 (1, 2, 3급)",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=354080547,"17,550원",10.0
위버멘쉬,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=359025448,"16,020원",9.6
박곰희 연금 부자 수업,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366615290,"18,900원",9.7
여학교의 별 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=286633169,"7,650원",9.4
실패를 통과하는 일,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370633659,"18,000원",9.6
저소비 생활,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371178617,"17,100원",9.7
여학교의 별 2,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=293054296,"7,650원",9.8
ETF 투자의 모든 것,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368941145,"18,900원",9.9
비트코인 없는 미래는 없다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371990345,"27,900원",10.0
다정한 사람이 이긴다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369431565,"17,100원",9.2
소년이 온다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=40869703,"13,500원",9.6
ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330109498,"17,820원",10.0
나 혼자만 레벨업 15 (한정판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372549881,"51,300원",4.0
ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330109271,"17,820원",10.0
어른의 관계를 가꾸는 100일 필사 노트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370131831,"18,000원",9.9
우리는 언제나 다시 만나,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=113482584,"10,800원",9.7
편안함의 습격,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366122829,"19,800원",9.3
여학교의 별 4,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=361704320,"7,650원",9.9
이타미 준 나의 건축,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370845525,"20,700원",9.3
여학교의 별 3,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=316732827,"7,650원",9.9
달러 자산 1억으로 평생 월급 완성하라,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369730967,"18,900원",9.7
야구선수 임찬규 (리미티드 에디션),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372566693,"19,800원",10.0
공포의 편도선,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371446214,"13,500원",10.0
다크 심리학,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368442791,"19,710원",9.3
조용한 회복,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371543057,"19,800원",10.0
초역 부처의 말,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339737027,"16,020원",8.4
이 정도만 알면 되는 경제학 만화,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370871173,"15,750원",8.0
읽으면서 바로 써먹는 어린이 공포의 수학 퍼즐 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368623856,"11,700원",9.7
가공범,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=367868003,"19,800원",9.2
급류,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=307692409,"12,600원",7.0
한국의 미래,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371535660,"19,800원",9.6
자몽살구클럽,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368083714,"10,800원",7.6
해커스 토익 기출 VOCA (보카),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=176021392,"11,610원",9.2
어른의 품격을 채우는 100일 필사 노트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=358092951,"18,000원",9.4
단 한 줄만 내 마음에 새긴다고 해도,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365272060,"21,420원",9.9
어른의 행복은 조용하다 (어나더커버),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=362366971,"16,020원",9.0
내가 없던 어느 밤에,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370615734,"12,600원",10.0
세상은 실제로 어떻게 돌아가는가,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=311928120,"19,800원",8.7
서경석의 한국사 한 권,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=367886946,"16,920원",9.0
코스모스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=870950,"19,800원",9.4
류수영의 평생 레시피,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366645662,"22,500원",9.6
천천히 다정하게,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371105168,"17,100원",9.3
"첫 여름, 완주",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=362755853,"15,300원",9.6
시간 고양이 7,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372421365,"13,500원",10.0
먼저 온 미래,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366598823,"18,000원",9.2
어른의 미래,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372003577,"14,400원",10.0
채식주의자 (리마스터판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=291370219,"15,300원",8.4
노인과 바다 (먼슬리 클래식),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371794439,"7,200원",9.5
주식 투자의 기쁨,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369563884,"17,820원",9.5
흔한남매 과학 탐험대 15 : 바다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370617263,"15,120원",10.0
2026 써니 행정법총론 기출문제집 - 전2권,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371269314,"41,400원",10.0
경험의 멸종,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=364235991,"17,820원",8.3
궤도,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365990683,"15,300원",8.4
액스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370774805,"16,200원",7.8
연의 편지 (리커버 양장본 한정판 패키지),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371721616,"18,900원",9.0
손끝과 연연 12 (더블특전판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371536728,"5,400원",10.0
단 한 번의 삶,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=361141292,"15,120원",9.0
외계인 자서전,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368012771,"17,100원",9.1
빅터 프랭클의 죽음의 수용소에서,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=242120194,"8,820원",9.4
"AGI, 천사인가 악마인가",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370146993,"16,200원",10.0
스토너,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=51001915,"15,120원",9.6
사카모토 데이즈 22 (더블 특전판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370424558,"5,850원",10.0
싱크로나이즈드 바다 아네모네,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371374318,"11,700원",9.6
삼체 0 : 구상섬전,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369462570,"17,010원",9.8
주도섹터 돌파매매 전략,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371954329,"23,220원",10.0
드디어 만나는 해부학 수업,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366335645,"17,910원",9.7
흔한남매 19,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=362085016,"14,220원",10.0
흔한남매 이무기 3,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=367091916,"14,220원",10.0
공허의 시대,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371182771,"16,650원",9.1
반딧불이의 혼례 8 (한정판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372510004,"26,100원",5.5
싯다르타,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329596,"7,200원",9.1
컵라면은 절대로 불어선 안 돼,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370208455,"12,150원",10.0
"까불지 마, 인생 안 끝났어",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372250881,"14,310원",9.8
과학산문,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370446899,"16,200원",10.0
고전이 답했다 마땅히 가져야 할 부에 대하여,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366270620,"16,020원",10.0
말뚝들,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370152807,"15,120원",9.8
포식하는 자본주의,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371200468,"22,500원",10.0
작별하지 않는다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=278770576,"15,120원",9.0
필로스트라토스의 그림들,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369578311,"18,050원",9.2
이지패스 2025 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=354730888,"27,000원",9.9
징계를 마칩니다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368010492,"20,700원",10.0
키메라의 땅 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369731176,"16,020원",9.9
일본어 명카피 필사 노트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369749028,"18,900원",9.9
데미안 (오리지널 초판본 표지디자인),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=98710881,"2,880원",9.6
각성,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368643292,"16,020원",9.8
워런 버핏 바이블 완결판,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369950039,"34,200원",10.0
키메라의 땅 2,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369731260,"16,020원",10.0
트윈,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371726952,"13,500원",10.0
료의 생각 없는 생각,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365667648,"18,000원",9.5
나는 소망한다 내게 금지된 것을,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=189365205,"13,500원",9.5
주술회전 30 (더블 특장판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369126044,"5,400원",10.0
제임스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371177447,"15,750원",9.0
도쿄 리벤저스 캐릭터북 3,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371919528,"8,100원",10.0
매일 아침 아빠의 묵상이 배달됩니다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370642603,"18,000원",10.0
마법천자문 68,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=372708895,"14,310원",2.0
나나 NANA 완전판 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=371105143,"10,800원",7.7
경애의 마음 (리커버),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370394561,"16,200원",8.8
호랑호랑 호랑이 추석,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370212269,"15,120원",9.7
긴긴밤,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=263027170,"11,250원",9.6
이방인,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=212246612,"9,000원",9.0
달리기 인류,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=369826411,"18,900원",9.7
이토록 아름다운 뇌,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=370351948,"42,300원",9.3
